Campaign_ID,Budget,Clicks,CTR,CPC,Conversions,CPA,Conversion_Rate,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Revenue,Spend,ROAS,Date,Impressions
C9010,4120,1076,0.1946,3.83,1027,4.01,0.9545,11,Instagram,Video,45-54,Male,South America,186914,3914.0,47.76,2024-06-04,5529
C5916,6950,1862,0.2108,3.73,1460,4.76,0.7841,18,Google,Image,35-44,Female,Africa,58400,6880.5,8.49,2024-02-26,8833
C8963,4550,345,0.0728,13.19,139,32.73,0.4029,13,YouTube,Text,45-54,Other,Africa,19460,4641.0,4.19,2024-03-07,4739
C3000,9940,1941,0.5882,5.12,832,11.95,0.4286,16,Facebook,Carousel,25-34,Other,North America,134784,10039.4,13.43,2024-09-29,3299
C5698,7880,438,0.0584,17.99,49,160.82,0.1119,28,Google,Text,18-24,Male,North America,4851,7643.6,0.63,2024-09-16,7500
C6694,4360,502,0.0735,8.69,453,9.62,0.9024,20,Instagram,Image,25-34,Female,South America,26274,4447.2,5.91,2025-02-06,6829
C3220,8820,1037,0.1358,8.51,21,420.0,0.0203,26,Facebook,Image,45-54,Female,South America,777,8908.2,0.09,2024-10-26,7636
C7995,4400,311,0.2031,14.15,260,16.92,0.836,11,YouTube,Image,18-24,Male,South America,28340,4620.0,6.13,2024-04-13,1531
C7506,5880,1125,0.1174,5.23,977,6.02,0.8684,25,Google,Video,18-24,Female,South America,130918,6056.4,21.62,2024-02-12,9582
C5308,7050,723,0.2075,9.75,468,15.06,0.6473,8,Facebook,Video,18-24,Other,Africa,89388,7332.0,12.19,2024-10-12,3484
C2608,2750,1455,0.2338,1.89,1395,1.97,0.9588,12,LinkedIn,Image,55+,Male,South America,223200,2777.5,80.36,2024-03-21,6223
C2475,6970,1832,0.3724,3.8,1141,6.11,0.6228,12,LinkedIn,Video,55+,Male,North America,128933,7318.5,17.62,2024-07-01,4919
C3998,5140,1956,0.3191,2.63,413,12.45,0.2111,12,LinkedIn,Carousel,55+,Male,Europe,55342,5397.0,10.25,2025-02-02,6129
C6209,3960,829,0.0893,4.78,150,26.4,0.1809,13,YouTube,Image,18-24,Female,North America,8250,3999.6,2.06,2024-10-04,9283
C4755,4740,635,0.1876,7.46,78,60.77,0.1228,12,LinkedIn,Text,18-24,Other,North America,3354,4550.4,0.74,2024-07-13,3384
C4279,8900,1967,0.4551,4.52,390,22.82,0.1983,21,Facebook,Image,18-24,Other,Europe,39390,8633.0,4.56,2024-11-11,4322
C8550,6400,1500,0.5427,4.27,1263,5.07,0.842,10,LinkedIn,Carousel,18-24,Female,South America,125037,6592.0,18.97,2024-08-13,2763
C4057,5540,54,0.0093,102.59,29,191.03,0.537,24,YouTube,Text,55+,Other,North America,5133,5263.0,0.98,2024-03-11,5806
C9797,8330,1235,0.3323,6.74,907,9.18,0.7344,14,Facebook,Image,45-54,Other,Africa,134236,8746.5,15.35,2024-03-02,3716
C4318,7440,1584,1.3834,4.7,860,8.65,0.5429,12,Google,Carousel,55+,Other,Asia,138460,7068.0,19.59,2024-04-02,1145
C6182,8180,1100,0.165,7.44,452,18.1,0.4109,14,LinkedIn,Text,45-54,Other,South America,54240,8507.2,6.38,2024-03-24,6666
C7386,9130,108,0.0155,84.54,38,240.26,0.3519,30,LinkedIn,Carousel,55+,Other,South America,7600,9586.5,0.79,2024-04-29,6967
C3248,7360,1948,0.9634,3.78,1587,4.64,0.8147,19,Facebook,Text,45-54,Male,Europe,234876,7728.0,30.39,2024-08-26,2022
C5065,4000,493,0.0678,8.11,473,8.46,0.9594,25,Instagram,Video,45-54,Male,South America,31218,3840.0,8.13,2024-10-08,7271
C5236,2090,751,0.3623,2.78,466,4.48,0.6205,20,Instagram,Text,35-44,Female,Europe,43804,2110.9,20.75,2024-12-21,2072
C2760,7070,1219,0.5328,5.8,204,34.66,0.1674,17,YouTube,Carousel,35-44,Female,Africa,30804,7352.8,4.19,2024-11-19,2287
C5987,5010,312,0.0878,16.06,76,65.92,0.2436,25,LinkedIn,Video,35-44,Female,Asia,14136,4959.9,2.85,2024-06-14,3553
C8070,3020,1231,0.241,2.45,492,6.14,0.3997,23,YouTube,Image,25-34,Male,Africa,44280,2989.8,14.81,2024-09-26,5107
C7438,2910,544,0.086,5.35,244,11.93,0.4485,14,Instagram,Image,55+,Female,North America,20496,2764.5,7.41,2024-07-27,6325
C4391,7930,224,0.0417,35.4,70,113.29,0.3125,29,YouTube,Video,35-44,Other,Europe,8330,8247.2,1.01,2024-04-15,5371
C2588,6710,1570,0.4906,4.27,1436,4.67,0.9146,24,YouTube,Image,25-34,Other,Europe,104828,6642.9,15.78,2024-07-20,3200
C7291,2470,135,0.0147,18.3,77,32.08,0.5704,8,Facebook,Video,25-34,Other,Asia,14630,2445.3,5.98,2024-03-25,9183
C4765,3060,1264,0.2901,2.42,341,8.97,0.2698,16,Google,Carousel,35-44,Female,North America,28644,3029.4,9.46,2025-01-18,4357
C7311,9610,423,0.3246,22.72,78,123.21,0.1844,27,YouTube,Text,45-54,Male,Europe,11622,9225.6,1.26,2024-03-28,1303
C2978,2170,394,0.0655,5.51,70,31.0,0.1777,27,LinkedIn,Image,25-34,Male,South America,11130,2061.5,5.4,2024-12-15,6015
C2672,8340,1564,0.249,5.33,969,8.61,0.6196,19,LinkedIn,Image,35-44,Female,South America,76551,8173.2,9.37,2024-06-23,6281
C1198,5780,163,0.0478,35.46,103,56.12,0.6319,16,Instagram,Image,18-24,Female,Europe,10403,5953.4,1.75,2024-12-10,3410
C2879,5200,1159,0.4003,4.49,143,36.36,0.1234,17,LinkedIn,Image,35-44,Female,North America,15301,5460.0,2.8,2024-12-28,2895
C2768,5570,494,0.1625,11.28,236,23.6,0.4777,23,Facebook,Video,55+,Female,Asia,27140,5458.6,4.97,2024-07-06,3040
C2382,7940,943,0.1388,8.42,160,49.62,0.1697,22,LinkedIn,Carousel,18-24,Other,South America,15200,8178.2,1.86,2024-10-28,6793
C5327,3180,410,0.1267,7.76,396,8.03,0.9659,10,YouTube,Image,45-54,Other,Europe,30096,3339.0,9.01,2024-06-16,3235
C8534,9130,1897,0.5738,4.81,127,71.89,0.0669,25,Facebook,Image,45-54,Female,South America,17272,9038.7,1.91,2024-09-08,3306
C6153,7510,544,0.1825,13.81,88,85.34,0.1618,14,YouTube,Video,55+,Other,North America,5016,7510.0,0.67,2024-09-25,2980
C5259,2590,980,0.2695,2.64,551,4.7,0.5622,12,Instagram,Carousel,45-54,Female,North America,24244,2486.4,9.75,2024-11-03,3636
C9489,4130,935,0.7397,4.42,652,6.33,0.6973,23,LinkedIn,Text,45-54,Other,North America,119316,4088.7,29.18,2024-07-30,1264
C6841,2290,919,0.0975,2.49,220,10.41,0.2394,29,Google,Carousel,25-34,Male,Europe,28380,2198.4,12.91,2024-10-16,9425
C2310,2070,777,0.1777,2.66,537,3.85,0.6911,26,Facebook,Text,55+,Female,North America,79476,1966.5,40.41,2024-10-27,4372
C2224,5990,393,0.0504,15.24,372,16.1,0.9466,9,Google,Video,18-24,Male,Europe,30876,5990.0,5.15,2025-01-11,7797
C2921,6340,585,0.0809,10.84,299,21.2,0.5111,12,LinkedIn,Text,18-24,Male,Africa,56511,6403.4,8.83,2024-11-08,7231
C6627,3190,830,0.0997,3.84,24,132.92,0.0289,26,Google,Image,35-44,Other,Africa,2520,3285.7,0.77,2024-07-13,8324
C3701,3470,181,0.1425,19.17,173,20.06,0.9558,16,Facebook,Text,18-24,Male,North America,30794,3435.3,8.96,2024-11-29,1270
C4322,3740,813,0.0875,4.6,229,16.33,0.2817,10,Google,Text,25-34,Male,North America,21526,3814.8,5.64,2024-02-24,9291
C7266,9030,1338,1.1925,6.75,1262,7.16,0.9432,28,Instagram,Carousel,55+,Male,Africa,193086,8578.5,22.51,2024-05-26,1122
C6047,5850,556,0.0561,10.52,56,104.46,0.1007,30,YouTube,Image,25-34,Female,North America,8232,6025.5,1.37,2024-12-14,9910
C6788,4730,1724,0.478,2.74,539,8.78,0.3126,17,YouTube,Video,45-54,Male,North America,76538,4824.6,15.86,2024-08-30,3606
C8368,9640,258,0.1527,37.36,115,83.83,0.4457,16,YouTube,Video,25-34,Male,Africa,5405,9640.0,0.56,2024-06-11,1689
C1811,8630,1370,0.2234,6.3,650,13.28,0.4745,27,YouTube,Text,45-54,Female,North America,103350,8284.8,12.47,2024-11-16,6132
C7004,5440,353,0.179,15.41,260,20.92,0.7365,28,Instagram,Carousel,45-54,Other,Africa,13260,5494.4,2.41,2024-03-14,1972
C1533,3480,85,0.0092,40.94,40,87.0,0.4706,7,LinkedIn,Carousel,45-54,Male,Europe,5440,3445.2,1.58,2024-12-18,9239
C9963,4070,489,0.0544,8.32,17,239.41,0.0348,25,LinkedIn,Carousel,25-34,Other,Africa,2584,3947.9,0.65,2025-01-17,8988
C1805,5820,1447,0.1502,4.02,521,11.17,0.3601,21,Instagram,Video,55+,Female,North America,87007,5936.4,14.66,2024-07-04,9633
C6513,4470,1315,0.2208,3.4,419,10.67,0.3186,20,Facebook,Carousel,35-44,Male,Europe,51118,4291.2,11.91,2024-06-14,5955
C4429,2450,307,0.1463,7.98,23,106.52,0.0749,20,Google,Text,35-44,Female,Asia,4462,2327.5,1.92,2024-07-30,2098
C2000,2050,321,0.0467,6.39,200,10.25,0.6231,9,Facebook,Video,45-54,Other,Asia,37600,2111.5,17.81,2024-10-06,6873
C9598,7600,1069,0.2562,7.11,236,32.2,0.2208,8,LinkedIn,Image,45-54,Other,Africa,38940,7904.0,4.93,2024-08-27,4172
C7377,2550,1223,0.3811,2.09,455,5.6,0.372,10,Instagram,Text,25-34,Female,Africa,22750,2677.5,8.5,2024-07-26,3209
C5838,5740,1931,1.3685,2.97,1079,5.32,0.5588,11,Google,Text,45-54,Male,South America,84162,5740.0,14.66,2024-12-26,1411
C5542,4930,723,0.2746,6.82,271,18.19,0.3748,26,YouTube,Text,18-24,Female,South America,12195,4831.4,2.52,2024-10-04,2632
C1776,5900,208,0.0213,28.37,195,30.26,0.9375,25,LinkedIn,Carousel,35-44,Female,Europe,36855,5900.0,6.25,2024-03-21,9765
C1535,6590,627,0.119,10.51,550,11.98,0.8772,11,Facebook,Carousel,18-24,Female,Asia,45650,6392.3,7.14,2024-12-24,5268
C2675,4210,867,0.16,4.86,589,7.15,0.6794,25,YouTube,Carousel,45-54,Male,Asia,48298,4167.9,11.59,2024-10-26,5418
C1678,4950,693,0.0853,7.14,202,24.5,0.2915,25,YouTube,Text,55+,Male,Asia,39188,4702.5,8.33,2024-11-12,8124
C5887,2050,1904,1.3668,1.08,869,2.36,0.4564,9,Instagram,Video,45-54,Other,Europe,155551,2111.5,73.67,2024-10-10,1393
C9352,8680,1288,0.4411,6.74,978,8.88,0.7593,27,LinkedIn,Text,55+,Female,Asia,63570,8680.0,7.32,2024-04-04,2919
C2828,3310,860,0.1555,3.85,151,21.92,0.1756,29,YouTube,Carousel,55+,Other,South America,26123,3210.7,8.14,2024-06-13,5530
C6119,3200,499,0.0766,6.41,175,18.29,0.3507,21,LinkedIn,Video,55+,Other,Europe,16450,3264.0,5.04,2024-11-15,6514
C7917,8270,1722,0.6766,4.8,734,11.27,0.4262,18,Google,Carousel,55+,Other,Africa,101292,8435.4,12.01,2025-01-31,2545
C1977,2290,635,0.0923,3.61,398,5.75,0.6268,24,LinkedIn,Image,25-34,Male,North America,65670,2290.0,28.68,2024-03-26,6879
C5105,2360,1084,0.1645,2.18,74,31.89,0.0683,29,LinkedIn,Image,18-24,Female,Europe,8732,2478.0,3.52,2024-07-14,6589
C2033,7290,1432,0.2646,5.09,1424,5.12,0.9944,30,YouTube,Carousel,35-44,Other,Europe,271984,7435.8,36.58,2025-01-29,5411
C2290,7220,1930,0.3256,3.74,1559,4.63,0.8078,10,Instagram,Carousel,55+,Other,Europe,308682,7292.2,42.33,2024-04-13,5927
C2498,5350,906,0.2328,5.91,464,11.53,0.5121,7,YouTube,Carousel,25-34,Female,North America,66816,5082.5,13.15,2024-05-31,3891
C3908,6120,1493,0.1671,4.1,1320,4.64,0.8841,7,Facebook,Video,25-34,Other,South America,201960,5875.2,34.38,2024-07-05,8934
C1603,7240,416,0.1065,17.4,223,32.47,0.5361,8,YouTube,Video,45-54,Male,Europe,41924,7095.2,5.91,2024-05-24,3906
C5900,4510,1465,0.1502,3.08,479,9.42,0.327,22,Facebook,Video,25-34,Other,South America,49337,4600.2,10.72,2024-09-02,9753
C5414,3820,791,0.2423,4.83,763,5.01,0.9646,27,Facebook,Carousel,55+,Male,North America,61040,3705.4,16.47,2024-09-23,3264
C5130,5040,1393,0.1598,3.62,1065,4.73,0.7645,20,YouTube,Image,45-54,Female,Europe,184245,5191.2,35.49,2024-04-11,8717
C6300,3140,1418,0.2906,2.21,407,7.71,0.287,16,Google,Text,18-24,Female,South America,18722,3045.8,6.15,2024-10-25,4879
C1153,8520,1604,0.2056,5.31,1562,5.45,0.9738,8,Instagram,Image,55+,Other,North America,306152,8775.6,34.89,2024-06-12,7801
C7525,4470,175,0.0191,25.54,132,33.86,0.7543,16,YouTube,Carousel,45-54,Other,North America,9240,4470.0,2.07,2024-05-20,9162
C4826,9800,1943,0.8006,5.04,1641,5.97,0.8446,23,LinkedIn,Image,18-24,Female,Africa,206766,9506.0,21.75,2024-08-03,2426
C4095,4970,1975,0.3107,2.52,1894,2.62,0.959,9,LinkedIn,Image,45-54,Other,Africa,140156,4771.2,29.38,2024-03-22,6356
C2277,7180,157,0.054,45.73,138,52.03,0.879,17,Google,Text,18-24,Other,Africa,5106,6964.6,0.73,2024-11-16,2907
C8323,5880,352,0.0384,16.7,167,35.21,0.4744,9,Google,Text,35-44,Male,Asia,11690,5762.4,2.03,2024-06-23,9166
C4161,6720,856,0.2289,7.85,541,12.42,0.632,15,LinkedIn,Carousel,55+,Other,Asia,17312,6451.2,2.68,2024-08-10,3739
C3297,6770,1205,0.1246,5.62,869,7.79,0.7212,11,LinkedIn,Carousel,25-34,Female,South America,69520,6837.7,10.17,2024-02-16,9670
C6444,8840,94,0.0306,94.04,19,465.26,0.2021,14,Facebook,Video,55+,Male,South America,1938,8751.6,0.22,2024-08-15,3071
C1165,9280,1573,0.1827,5.9,1310,7.08,0.8328,22,Facebook,Carousel,18-24,Female,Asia,119210,9187.2,12.98,2024-10-06,8609
C3167,9600,283,0.0357,33.92,98,97.96,0.3463,23,Google,Image,18-24,Other,Asia,13328,9504.0,1.4,2025-02-02,7927
C4053,9100,1739,0.7988,5.23,1662,5.48,0.9557,30,Google,Video,35-44,Female,Asia,309132,8918.0,34.66,2024-05-10,2177
C9760,2640,1670,0.2384,1.58,927,2.85,0.5551,15,Google,Video,35-44,Male,North America,95481,2692.8,35.46,2024-03-22,7005
C2990,8580,1038,0.1289,8.27,721,11.9,0.6946,26,Facebook,Text,55+,Female,Europe,124733,8236.8,15.14,2024-07-19,8052
C5489,5810,806,0.0845,7.21,310,18.74,0.3846,18,LinkedIn,Video,18-24,Other,Asia,41540,5577.6,7.45,2024-04-14,9538
C1479,3660,957,0.1274,3.82,900,4.07,0.9404,29,Instagram,Image,35-44,Other,North America,164700,3623.4,45.45,2024-07-11,7511
C2411,4510,935,0.774,4.82,822,5.49,0.8791,14,Facebook,Carousel,18-24,Female,Africa,163578,4329.6,37.78,2024-06-21,1208
C4371,4040,1117,0.3712,3.62,100,40.4,0.0895,17,YouTube,Video,55+,Male,Asia,18600,4242.0,4.38,2024-06-13,3009
C1053,7480,1565,0.1876,4.78,544,13.75,0.3476,28,Instagram,Carousel,35-44,Female,Africa,107712,7180.8,15.0,2024-08-31,8342
C1011,8680,1764,0.4456,4.92,1692,5.13,0.9592,29,Google,Carousel,55+,Other,South America,309636,9027.2,34.3,2024-12-18,3958
C9560,5170,1017,0.2706,5.08,379,13.64,0.3727,24,Google,Video,18-24,Male,Europe,63293,5376.8,11.77,2024-05-09,3758
C9523,4560,960,0.1255,4.75,299,15.25,0.3115,30,YouTube,Text,35-44,Female,Africa,56212,4651.2,12.09,2025-01-12,7649
C9548,2610,1288,0.1648,2.03,699,3.73,0.5427,17,LinkedIn,Image,45-54,Male,Africa,85977,2688.3,31.98,2024-06-12,7815
C5510,8040,1126,0.1206,7.14,715,11.24,0.635,26,Instagram,Carousel,25-34,Female,Africa,89375,8120.4,11.01,2024-09-24,9336
C7701,6930,1558,0.5356,4.45,1000,6.93,0.6418,12,LinkedIn,Video,55+,Other,Africa,76000,6930.0,10.97,2024-05-08,2908
C9916,9050,987,0.3324,9.17,484,18.7,0.4904,21,Google,Video,45-54,Female,Asia,87120,8597.5,10.13,2024-05-21,2969
C9888,4130,881,0.119,4.69,184,22.45,0.2089,9,YouTube,Video,55+,Other,South America,23920,4130.0,5.79,2024-02-23,7403
C8101,7400,1363,0.1394,5.43,598,12.37,0.4387,27,Instagram,Video,55+,Female,South America,85514,7548.0,11.33,2024-06-08,9777
C3516,6840,133,0.0422,51.43,131,52.21,0.985,25,Instagram,Text,25-34,Male,Africa,11135,6566.4,1.7,2024-02-17,3151
C9308,6740,279,0.0382,24.16,99,68.08,0.3548,20,LinkedIn,Text,55+,Male,Africa,6039,6672.6,0.91,2024-06-28,7303
C9429,9200,1243,0.6081,7.4,318,28.93,0.2558,24,Instagram,Image,35-44,Other,North America,20352,9292.0,2.19,2024-03-02,2044
C8305,9260,937,0.1577,9.88,795,11.65,0.8485,19,Facebook,Carousel,18-24,Other,North America,154230,8797.0,17.53,2024-04-08,5941
C6143,9790,1283,0.1432,7.63,418,23.42,0.3258,25,LinkedIn,Image,55+,Male,Africa,40964,9985.8,4.1,2024-12-08,8959
C9836,2600,388,0.0987,6.7,241,10.79,0.6211,23,YouTube,Carousel,55+,Male,North America,44585,2496.0,17.86,2024-10-10,3931
C9708,5170,320,0.0926,16.16,126,41.03,0.3937,24,LinkedIn,Video,18-24,Male,South America,14616,5118.3,2.86,2025-01-07,3455
C2511,3220,1094,0.2907,2.94,979,3.29,0.8949,10,YouTube,Text,55+,Other,South America,169367,3252.2,52.08,2024-09-26,3763
C4061,7010,1452,0.1724,4.83,723,9.7,0.4979,22,YouTube,Image,18-24,Other,Africa,26028,6939.9,3.75,2024-06-12,8422
C6408,7300,1818,0.8527,4.02,1243,5.87,0.6837,21,LinkedIn,Carousel,55+,Female,Africa,78309,7227.0,10.84,2024-06-26,2132
C5459,3590,1427,0.2272,2.52,1411,2.54,0.9888,13,Facebook,Text,18-24,Male,Asia,64906,3446.4,18.83,2024-06-13,6280
C8044,5110,1635,0.372,3.13,804,6.36,0.4917,28,Facebook,Video,35-44,Other,South America,107736,4905.6,21.96,2024-08-27,4395
C5147,4200,1189,0.2353,3.53,127,33.07,0.1068,30,Instagram,Carousel,18-24,Other,Africa,5588,4032.0,1.39,2024-03-26,5053
C1785,8300,1193,0.8166,6.96,429,19.35,0.3596,30,Instagram,Video,25-34,Male,Africa,50622,7885.0,6.42,2024-09-22,1460
C4676,5860,1395,0.1688,4.2,310,18.9,0.2222,30,LinkedIn,Carousel,18-24,Female,South America,31930,5684.2,5.62,2024-05-24,8264
C8990,5530,1658,0.3106,3.34,435,12.71,0.2624,15,Facebook,Text,35-44,Male,Africa,27405,5253.5,5.22,2024-09-06,5338
C5792,6550,1154,0.1215,5.68,710,9.23,0.6153,9,Facebook,Carousel,45-54,Other,Europe,29110,6288.0,4.63,2024-11-01,9497
C4699,5150,1065,0.2451,4.84,216,23.84,0.2028,25,LinkedIn,Text,18-24,Other,North America,35640,4944.0,7.21,2024-03-18,4345
C3176,9790,813,0.3331,12.04,131,74.73,0.1611,13,LinkedIn,Text,35-44,Other,North America,7074,9887.9,0.72,2024-05-31,2440
C3273,5240,1542,0.2594,3.4,639,8.2,0.4144,29,Instagram,Video,18-24,Female,Asia,109269,5187.6,21.06,2024-05-13,5944
C9673,9140,279,0.1269,32.76,157,58.22,0.5627,19,Facebook,Text,35-44,Female,North America,10205,9048.6,1.13,2024-06-21,2198
C4126,2770,1909,0.7918,1.45,1311,2.11,0.6867,26,YouTube,Carousel,25-34,Male,Asia,98325,2880.8,34.13,2024-10-14,2410
C4213,2860,877,0.1099,3.26,672,4.26,0.7662,10,LinkedIn,Image,35-44,Male,Europe,98784,2717.0,36.36,2024-07-09,7979
C9401,8400,119,0.0207,70.59,115,73.04,0.9664,10,Instagram,Text,35-44,Female,South America,12650,8148.0,1.55,2024-07-03,5748
C3703,2860,1737,0.178,1.65,145,19.72,0.0835,18,LinkedIn,Carousel,55+,Male,Africa,9280,2802.8,3.31,2024-09-03,9758
C4846,2360,1668,0.6622,1.41,509,4.64,0.3052,25,Instagram,Carousel,18-24,Other,North America,42756,2360.0,18.12,2024-02-26,2518
C8078,2790,1243,0.1268,2.24,403,6.92,0.3242,14,Facebook,Text,55+,Other,South America,26195,2706.3,9.68,2024-03-22,9802
C5390,5930,551,0.1005,10.76,247,24.01,0.4483,11,YouTube,Video,45-54,Other,Europe,25441,6226.5,4.09,2024-10-27,5482
C9376,7070,427,0.0757,16.56,60,117.83,0.1405,19,Facebook,Text,55+,Male,Africa,10200,7423.5,1.37,2024-08-19,5640
C4004,3350,463,0.1223,7.24,50,67.0,0.108,7,YouTube,Image,35-44,Male,Europe,3500,3350.0,1.04,2024-08-12,3785
C5589,2410,1890,0.2376,1.28,1089,2.21,0.5762,24,Facebook,Text,18-24,Other,North America,130680,2482.3,52.64,2024-10-29,7954
C2306,6060,1411,0.1749,4.29,119,50.92,0.0843,18,LinkedIn,Text,35-44,Male,Africa,3927,5878.2,0.67,2025-01-17,8067
C5677,2900,1284,0.3179,2.26,971,2.99,0.7562,11,Facebook,Text,45-54,Male,Africa,118462,2929.0,40.44,2024-02-19,4039
C7450,6360,1273,0.1978,5.0,126,50.48,0.099,29,LinkedIn,Image,35-44,Female,Africa,13356,6296.4,2.12,2025-01-09,6435
C5033,3780,1493,0.3136,2.53,1475,2.56,0.9879,13,Facebook,Video,35-44,Female,Africa,205025,3855.6,53.18,2024-07-05,4760
C8674,2880,1476,0.1791,1.95,288,10.0,0.1951,7,LinkedIn,Video,25-34,Female,Africa,23328,2995.2,7.79,2025-02-05,8241
C6099,9530,132,0.0393,72.2,13,733.08,0.0985,13,Facebook,Text,25-34,Other,North America,1768,9148.8,0.19,2024-10-29,3358
C7138,3220,1024,0.2461,3.14,145,22.21,0.1416,7,YouTube,Image,18-24,Female,Africa,13485,3155.6,4.27,2024-03-12,4160
C4844,7660,325,0.0762,23.57,295,25.97,0.9077,14,YouTube,Video,45-54,Female,Asia,45430,8043.0,5.65,2025-01-14,4265
C5515,7990,1982,0.2559,4.03,1315,6.08,0.6635,30,LinkedIn,Carousel,25-34,Other,Asia,222235,7910.1,28.1,2024-03-05,7745
C1746,2830,836,0.2042,3.39,355,7.97,0.4246,16,LinkedIn,Video,25-34,Male,Europe,65675,2914.9,22.53,2024-06-05,4094
C9933,7120,1159,1.0975,6.14,980,7.27,0.8456,8,Facebook,Image,45-54,Other,South America,193060,6906.4,27.95,2024-05-11,1056
C8825,2700,1680,0.2335,1.61,1138,2.37,0.6774,28,LinkedIn,Text,45-54,Male,Asia,171838,2565.0,66.99,2024-02-15,7194
C7975,6610,213,0.0293,31.03,101,65.45,0.4742,16,YouTube,Carousel,25-34,Other,South America,19392,6345.6,3.06,2024-06-24,7269
C7607,2610,1508,0.4763,1.73,131,19.92,0.0869,13,Instagram,Carousel,25-34,Other,North America,14541,2557.8,5.68,2024-09-09,3166
C9454,8740,1817,0.3532,4.81,1346,6.49,0.7408,14,Facebook,Carousel,25-34,Male,North America,254394,8740.0,29.11,2024-10-30,5144
C8148,7380,168,0.0446,43.93,17,434.12,0.1012,27,LinkedIn,Text,35-44,Female,Africa,646,7675.2,0.08,2024-12-14,3766
C7717,2480,959,0.1162,2.59,849,2.92,0.8853,18,LinkedIn,Video,25-34,Male,Africa,26319,2504.8,10.51,2024-07-22,8253
C9867,6110,1689,0.3424,3.62,622,9.82,0.3683,9,LinkedIn,Carousel,35-44,Other,Asia,72774,6048.9,12.03,2024-05-19,4932
C3387,6750,1677,0.5581,4.03,1015,6.65,0.6052,12,Google,Carousel,35-44,Other,South America,156310,6547.5,23.87,2024-08-20,3004
C1341,4630,859,0.2088,5.39,735,6.3,0.8556,29,Facebook,Carousel,18-24,Female,Europe,127890,4630.0,27.62,2024-04-17,4113
C2816,8390,1448,0.79,5.79,1432,5.86,0.989,27,Facebook,Image,18-24,Male,Asia,173272,8306.1,20.86,2024-08-11,1832
C5907,8030,352,0.0495,22.81,288,27.88,0.8182,14,Facebook,Video,18-24,Female,Europe,22752,7869.4,2.89,2025-02-03,7111
C5355,5490,1765,0.4453,3.11,666,8.24,0.3773,15,YouTube,Text,35-44,Male,Asia,22644,5764.5,3.93,2024-12-11,3963
