Date_ID,Date,Year,Month_Number,Month_Name,Quarter
71,2024-04-23,2024,4,April,Q2
72,2024-04-24,2024,4,April,Q2
73,2024-04-25,2024,4,April,Q2
74,2024-04-26,2024,4,April,Q2
75,2024-04-28,2024,4,April,Q2
76,2024-04-29,2024,4,April,Q2
77,2024-04-30,2024,4,April,Q2
78,2024-05-01,2024,5,May,Q2
79,2024-05-03,2024,5,May,Q2
80,2024-05-04,2024,5,May,Q2
81,2024-05-05,2024,5,May,Q2
82,2024-05-06,2024,5,May,Q2
83,2024-05-07,2024,5,May,Q2
84,2024-05-08,2024,5,May,Q2
85,2024-05-09,2024,5,May,Q2
86,2024-05-10,2024,5,May,Q2
87,2024-05-11,2024,5,May,Q2
88,2024-05-12,2024,5,May,Q2
89,2024-05-13,2024,5,May,Q2
90,2024-05-14,2024,5,May,Q2
91,2024-05-15,2024,5,May,Q2
92,2024-05-16,2024,5,May,Q2
93,2024-05-17,2024,5,May,Q2
94,2024-05-18,2024,5,May,Q2
95,2024-05-19,2024,5,May,Q2
96,2024-05-20,2024,5,May,Q2
97,2024-05-21,2024,5,May,Q2
98,2024-05-22,2024,5,May,Q2
99,2024-05-23,2024,5,May,Q2
100,2024-05-24,2024,5,May,Q2
101,2024-05-25,2024,5,May,Q2
102,2024-05-26,2024,5,May,Q2
103,2024-05-27,2024,5,May,Q2
104,2024-05-28,2024,5,May,Q2
105,2024-05-29,2024,5,May,Q2
106,2024-05-30,2024,5,May,Q2
107,2024-05-31,2024,5,May,Q2
108,2024-06-01,2024,6,June,Q2
109,2024-06-02,2024,6,June,Q2
110,2024-06-03,2024,6,June,Q2
111,2024-06-04,2024,6,June,Q2
112,2024-06-05,2024,6,June,Q2
113,2024-06-06,2024,6,June,Q2
114,2024-06-07,2024,6,June,Q2
115,2024-06-08,2024,6,June,Q2
116,2024-06-09,2024,6,June,Q2
117,2024-06-10,2024,6,June,Q2
118,2024-06-11,2024,6,June,Q2
119,2024-06-12,2024,6,June,Q2
120,2024-06-13,2024,6,June,Q2
121,2024-06-14,2024,6,June,Q2
122,2024-06-15,2024,6,June,Q2
123,2024-06-16,2024,6,June,Q2
124,2024-06-17,2024,6,June,Q2
125,2024-06-18,2024,6,June,Q2
126,2024-06-19,2024,6,June,Q2
127,2024-06-20,2024,6,June,Q2
128,2024-06-21,2024,6,June,Q2
129,2024-06-22,2024,6,June,Q2
130,2024-06-23,2024,6,June,Q2
131,2024-06-24,2024,6,June,Q2
132,2024-06-26,2024,6,June,Q2
133,2024-06-27,2024,6,June,Q2
134,2024-06-28,2024,6,June,Q2
135,2024-06-29,2024,6,June,Q2
136,2024-06-30,2024,6,June,Q2
137,2024-07-01,2024,7,July,Q3
138,2024-07-02,2024,7,July,Q3
139,2024-07-03,2024,7,July,Q3
140,2024-07-04,2024,7,July,Q3
141,2024-07-05,2024,7,July,Q3
142,2024-07-06,2024,7,July,Q3
143,2024-07-07,2024,7,July,Q3
144,2024-07-09,2024,7,July,Q3
145,2024-07-11,2024,7,July,Q3
146,2024-07-12,2024,7,July,Q3
147,2024-07-13,2024,7,July,Q3
148,2024-07-14,2024,7,July,Q3
149,2024-07-15,2024,7,July,Q3
150,2024-07-16,2024,7,July,Q3
151,2024-07-17,2024,7,July,Q3
152,2024-07-18,2024,7,July,Q3
153,2024-07-19,2024,7,July,Q3
154,2024-07-20,2024,7,July,Q3
155,2024-07-21,2024,7,July,Q3
156,2024-07-22,2024,7,July,Q3
157,2024-07-23,2024,7,July,Q3
158,2024-07-24,2024,7,July,Q3
159,2024-07-25,2024,7,July,Q3
160,2024-07-26,2024,7,July,Q3
161,2024-07-27,2024,7,July,Q3
162,2024-07-28,2024,7,July,Q3
163,2024-07-29,2024,7,July,Q3
164,2024-07-30,2024,7,July,Q3
165,2024-07-31,2024,7,July,Q3
166,2024-08-01,2024,8,August,Q3
167,2024-08-03,2024,8,August,Q3
168,2024-08-07,2024,8,August,Q3
169,2024-08-08,2024,8,August,Q3
170,2024-08-09,2024,8,August,Q3
171,2024-08-10,2024,8,August,Q3
172,2024-08-11,2024,8,August,Q3
173,2024-08-12,2024,8,August,Q3
174,2024-08-13,2024,8,August,Q3
175,2024-08-14,2024,8,August,Q3
176,2024-08-15,2024,8,August,Q3
177,2024-08-17,2024,8,August,Q3
178,2024-08-18,2024,8,August,Q3
179,2024-08-19,2024,8,August,Q3
180,2024-08-20,2024,8,August,Q3
181,2024-08-21,2024,8,August,Q3
182,2024-08-22,2024,8,August,Q3
183,2024-08-23,2024,8,August,Q3
184,2024-08-25,2024,8,August,Q3
185,2024-08-26,2024,8,August,Q3
186,2024-08-27,2024,8,August,Q3
187,2024-08-28,2024,8,August,Q3
188,2024-08-30,2024,8,August,Q3
189,2024-08-31,2024,8,August,Q3
190,2024-09-01,2024,9,September,Q3
191,2024-09-02,2024,9,September,Q3
192,2024-09-03,2024,9,September,Q3
193,2024-09-06,2024,9,September,Q3
194,2024-09-07,2024,9,September,Q3
195,2024-09-08,2024,9,September,Q3
196,2024-09-09,2024,9,September,Q3
197,2024-09-11,2024,9,September,Q3
198,2024-09-12,2024,9,September,Q3
199,2024-09-13,2024,9,September,Q3
200,2024-09-15,2024,9,September,Q3
201,2024-09-16,2024,9,September,Q3
202,2024-09-17,2024,9,September,Q3
203,2024-09-19,2024,9,September,Q3
204,2024-09-20,2024,9,September,Q3
205,2024-09-21,2024,9,September,Q3
206,2024-09-22,2024,9,September,Q3
207,2024-09-23,2024,9,September,Q3
208,2024-09-24,2024,9,September,Q3
209,2024-09-25,2024,9,September,Q3
210,2024-09-26,2024,9,September,Q3
211,2024-09-27,2024,9,September,Q3
212,2024-09-28,2024,9,September,Q3
213,2024-09-29,2024,9,September,Q3
214,2024-09-30,2024,9,September,Q3
215,2024-10-03,2024,10,October,Q4
216,2024-10-04,2024,10,October,Q4
217,2024-10-05,2024,10,October,Q4
218,2024-10-06,2024,10,October,Q4
219,2024-10-07,2024,10,October,Q4
220,2024-10-08,2024,10,October,Q4
221,2024-10-09,2024,10,October,Q4
222,2024-10-10,2024,10,October,Q4
223,2024-10-11,2024,10,October,Q4
224,2024-10-12,2024,10,October,Q4
225,2024-10-13,2024,10,October,Q4
226,2024-10-14,2024,10,October,Q4
227,2024-10-15,2024,10,October,Q4
228,2024-10-16,2024,10,October,Q4
229,2024-10-17,2024,10,October,Q4
230,2024-10-18,2024,10,October,Q4
231,2024-10-19,2024,10,October,Q4
232,2024-10-20,2024,10,October,Q4
233,2024-10-21,2024,10,October,Q4
234,2024-10-22,2024,10,October,Q4
235,2024-10-23,2024,10,October,Q4
236,2024-10-24,2024,10,October,Q4
237,2024-10-25,2024,10,October,Q4
238,2024-10-26,2024,10,October,Q4
239,2024-10-27,2024,10,October,Q4
240,2024-10-28,2024,10,October,Q4
241,2024-10-29,2024,10,October,Q4
242,2024-10-30,2024,10,October,Q4
243,2024-10-31,2024,10,October,Q4
244,2024-11-01,2024,11,November,Q4
245,2024-11-02,2024,11,November,Q4
246,2024-11-03,2024,11,November,Q4
247,2024-11-04,2024,11,November,Q4
248,2024-11-05,2024,11,November,Q4
249,2024-11-06,2024,11,November,Q4
250,2024-11-07,2024,11,November,Q4
251,2024-11-08,2024,11,November,Q4
252,2024-11-09,2024,11,November,Q4
253,2024-11-10,2024,11,November,Q4
254,2024-11-11,2024,11,November,Q4
255,2024-11-12,2024,11,November,Q4
256,2024-11-13,2024,11,November,Q4
257,2024-11-14,2024,11,November,Q4
258,2024-11-15,2024,11,November,Q4
259,2024-11-16,2024,11,November,Q4
260,2024-11-18,2024,11,November,Q4
261,2024-11-19,2024,11,November,Q4
262,2024-11-20,2024,11,November,Q4
263,2024-11-22,2024,11,November,Q4
264,2024-11-23,2024,11,November,Q4
265,2024-11-24,2024,11,November,Q4
266,2024-11-26,2024,11,November,Q4
267,2024-11-27,2024,11,November,Q4
268,2024-11-28,2024,11,November,Q4
269,2024-11-29,2024,11,November,Q4
270,2024-11-30,2024,11,November,Q4
271,2024-12-01,2024,12,December,Q4
272,2024-12-02,2024,12,December,Q4
273,2024-12-03,2024,12,December,Q4
274,2024-12-04,2024,12,December,Q4
275,2024-12-06,2024,12,December,Q4
276,2024-12-07,2024,12,December,Q4
277,2024-12-08,2024,12,December,Q4
278,2024-12-09,2024,12,December,Q4
279,2024-12-10,2024,12,December,Q4
280,2024-12-11,2024,12,December,Q4
281,2024-12-12,2024,12,December,Q4
282,2024-12-13,2024,12,December,Q4
283,2024-12-14,2024,12,December,Q4
284,2024-12-15,2024,12,December,Q4
285,2024-12-16,2024,12,December,Q4
286,2024-12-17,2024,12,December,Q4
287,2024-12-18,2024,12,December,Q4
288,2024-12-19,2024,12,December,Q4
289,2024-12-21,2024,12,December,Q4
290,2024-12-22,2024,12,December,Q4
291,2024-12-23,2024,12,December,Q4
292,2024-12-24,2024,12,December,Q4
293,2024-12-26,2024,12,December,Q4
294,2024-12-27,2024,12,December,Q4
295,2024-12-28,2024,12,December,Q4
296,2024-12-29,2024,12,December,Q4
297,2024-12-30,2024,12,December,Q4
298,2024-12-31,2024,12,December,Q4
299,2025-01-01,2025,1,January,Q1
300,2025-01-02,2025,1,January,Q1
301,2025-01-03,2025,1,January,Q1
302,2025-01-04,2025,1,January,Q1
303,2025-01-05,2025,1,January,Q1
304,2025-01-06,2025,1,January,Q1
305,2025-01-07,2025,1,January,Q1
306,2025-01-08,2025,1,January,Q1
307,2025-01-09,2025,1,January,Q1
308,2025-01-11,2025,1,January,Q1
309,2025-01-12,2025,1,January,Q1
310,2025-01-14,2025,1,January,Q1
311,2025-01-15,2025,1,January,Q1
312,2025-01-16,2025,1,January,Q1
313,2025-01-17,2025,1,January,Q1
314,2025-01-18,2025,1,January,Q1
315,2025-01-19,2025,1,January,Q1
316,2025-01-20,2025,1,January,Q1
317,2025-01-21,2025,1,January,Q1
318,2025-01-22,2025,1,January,Q1
319,2025-01-24,2025,1,January,Q1
320,2025-01-25,2025,1,January,Q1
321,2025-01-26,2025,1,January,Q1
322,2025-01-27,2025,1,January,Q1
323,2025-01-28,2025,1,January,Q1
324,2025-01-29,2025,1,January,Q1
325,2025-01-30,2025,1,January,Q1
326,2025-01-31,2025,1,January,Q1
327,2025-02-01,2025,2,February,Q1
328,2025-02-02,2025,2,February,Q1
329,2025-02-03,2025,2,February,Q1
330,2025-02-04,2025,2,February,Q1
331,2025-02-05,2025,2,February,Q1
332,2025-02-06,2025,2,February,Q1
333,2025-02-07,2025,2,February,Q1
334,2025-02-09,2025,2,February,Q1
