Campaign_ID,Age_ID,Content_ID,Gender_ID,Platform_ID,Region_ID,Date_ID,Budget,Clicks,CTR,CPC,Conversions,CPA,Conversion_Rate,Duration,Revenue,Spend,ROAS,Impressions
C2475,5,4,2,4,4,137,6970,1832,0.3724,3.8,1141,6.11,0.6228,12,128933,7318.5,17.62,4919
C3998,5,1,2,4,3,328,5140,1956,0.3191,2.63,413,12.45,0.2111,12,55342,5397.0,10.25,6129
C6209,1,2,1,5,4,216,3960,829,0.0893,4.78,150,26.4,0.1809,13,8250,3999.6,2.06,9283
C4755,1,3,3,4,4,147,4740,635,0.1876,7.46,78,60.77,0.1228,12,3354,4550.4,0.74,3384
C4279,1,2,3,1,3,254,8900,1967,0.4551,4.52,390,22.82,0.1983,21,39390,8633.0,4.56,4322
C8550,1,1,1,4,5,174,6400,1500,0.5427,4.27,1263,5.07,0.842,10,125037,6592.0,18.97,2763
C4057,5,3,3,5,4,30,5540,54,0.0093,102.59,29,191.03,0.537,24,5133,5263.0,0.98,5806
C9797,4,2,3,1,1,21,8330,1235,0.3323,6.74,907,9.18,0.7344,14,134236,8746.5,15.35,3716
C4318,5,1,3,2,2,51,7440,1584,1.3834,4.7,860,8.65,0.5429,12,138460,7068.0,19.59,1145
C6182,4,3,3,4,5,42,8180,1100,0.165,7.44,452,18.1,0.4109,14,54240,8507.2,6.38,6666
C7386,5,1,3,4,5,76,9130,108,0.0155,84.54,38,240.26,0.3519,30,7600,9586.5,0.79,6967
C3248,4,3,2,1,3,185,7360,1948,0.9634,3.78,1587,4.64,0.8147,19,234876,7728.0,30.39,2022
C5065,4,4,2,3,5,220,4000,493,0.0678,8.11,473,8.46,0.9594,25,31218,3840.0,8.13,7271
C5236,3,3,1,3,3,289,2090,751,0.3623,2.78,466,4.48,0.6205,20,43804,2110.9,20.75,2072
C2760,3,1,1,5,1,261,7070,1219,0.5328,5.8,204,34.66,0.1674,17,30804,7352.8,4.19,2287
C5987,3,4,1,4,2,121,5010,312,0.0878,16.06,76,65.92,0.2436,25,14136,4959.9,2.85,3553
C8070,2,2,2,5,1,210,3020,1231,0.241,2.45,492,6.14,0.3997,23,44280,2989.8,14.81,5107
C7438,5,2,1,3,4,161,2910,544,0.086,5.35,244,11.93,0.4485,14,20496,2764.5,7.41,6325
C4391,3,4,3,5,3,63,7930,224,0.0417,35.4,70,113.29,0.3125,29,8330,8247.2,1.01,5371
C2588,2,2,3,5,3,154,6710,1570,0.4906,4.27,1436,4.67,0.9146,24,104828,6642.9,15.78,3200
C7291,2,4,3,1,2,43,2470,135,0.0147,18.3,77,32.08,0.5704,8,14630,2445.3,5.98,9183
C4765,3,1,1,2,4,314,3060,1264,0.2901,2.42,341,8.97,0.2698,16,28644,3029.4,9.46,4357
C7311,4,3,2,5,3,46,9610,423,0.3246,22.72,78,123.21,0.1844,27,11622,9225.6,1.26,1303
C2978,2,2,2,4,5,284,2170,394,0.0655,5.51,70,31.0,0.1777,27,11130,2061.5,5.4,6015
C2672,3,2,1,4,5,130,8340,1564,0.249,5.33,969,8.61,0.6196,19,76551,8173.2,9.37,6281
C1198,1,2,1,3,3,279,5780,163,0.0478,35.46,103,56.12,0.6319,16,10403,5953.4,1.75,3410
C2879,3,2,1,4,4,295,5200,1159,0.4003,4.49,143,36.36,0.1234,17,15301,5460.0,2.8,2895
C2768,5,4,1,1,2,142,5570,494,0.1625,11.28,236,23.6,0.4777,23,27140,5458.6,4.97,3040
C2382,1,1,3,4,5,240,7940,943,0.1388,8.42,160,49.62,0.1697,22,15200,8178.2,1.86,6793
C5327,4,2,3,5,3,123,3180,410,0.1267,7.76,396,8.03,0.9659,10,30096,3339.0,9.01,3235
C8534,4,2,1,1,5,195,9130,1897,0.5738,4.81,127,71.89,0.0669,25,17272,9038.7,1.91,3306
C6153,5,4,3,5,4,209,7510,544,0.1825,13.81,88,85.34,0.1618,14,5016,7510.0,0.67,2980
C5259,4,1,1,3,4,246,2590,980,0.2695,2.64,551,4.7,0.5622,12,24244,2486.4,9.75,3636
C9489,4,3,3,4,4,164,4130,935,0.7397,4.42,652,6.33,0.6973,23,119316,4088.7,29.18,1264
C6841,2,1,2,2,3,228,2290,919,0.0975,2.49,220,10.41,0.2394,29,28380,2198.4,12.91,9425
C2310,5,3,1,1,4,239,2070,777,0.1777,2.66,537,3.85,0.6911,26,79476,1966.5,40.41,4372
C2224,1,4,2,2,3,308,5990,393,0.0504,15.24,372,16.1,0.9466,9,30876,5990.0,5.15,7797
C2921,1,3,2,4,1,251,6340,585,0.0809,10.84,299,21.2,0.5111,12,56511,6403.4,8.83,7231
C6627,3,2,3,2,1,147,3190,830,0.0997,3.84,24,132.92,0.0289,26,2520,3285.7,0.77,8324
C3701,1,3,2,1,4,269,3470,181,0.1425,19.17,173,20.06,0.9558,16,30794,3435.3,8.96,1270
C4322,2,3,2,2,4,14,3740,813,0.0875,4.6,229,16.33,0.2817,10,21526,3814.8,5.64,9291
C7266,5,1,2,3,1,102,9030,1338,1.1925,6.75,1262,7.16,0.9432,28,193086,8578.5,22.51,1122
C6047,2,2,1,5,4,283,5850,556,0.0561,10.52,56,104.46,0.1007,30,8232,6025.5,1.37,9910
C6788,4,4,2,5,4,188,4730,1724,0.478,2.74,539,8.78,0.3126,17,76538,4824.6,15.86,3606
C8368,2,4,2,5,1,118,9640,258,0.1527,37.36,115,83.83,0.4457,16,5405,9640.0,0.56,1689
C1811,4,3,1,5,4,259,8630,1370,0.2234,6.3,650,13.28,0.4745,27,103350,8284.8,12.47,6132
C7004,4,1,3,3,1,33,5440,353,0.179,15.41,260,20.92,0.7365,28,13260,5494.4,2.41,1972
C1533,4,1,2,4,3,287,3480,85,0.0092,40.94,40,87.0,0.4706,7,5440,3445.2,1.58,9239
C9963,2,1,3,4,1,313,4070,489,0.0544,8.32,17,239.41,0.0348,25,2584,3947.9,0.65,8988
C1805,5,4,1,3,4,140,5820,1447,0.1502,4.02,521,11.17,0.3601,21,87007,5936.4,14.66,9633
C6513,3,1,2,1,3,121,4470,1315,0.2208,3.4,419,10.67,0.3186,20,51118,4291.2,11.91,5955
C4429,3,3,1,2,2,164,2450,307,0.1463,7.98,23,106.52,0.0749,20,4462,2327.5,1.92,2098
C2000,4,4,3,1,2,218,2050,321,0.0467,6.39,200,10.25,0.6231,9,37600,2111.5,17.81,6873
C9598,4,2,3,4,1,186,7600,1069,0.2562,7.11,236,32.2,0.2208,8,38940,7904.0,4.93,4172
C7377,2,3,1,3,1,160,2550,1223,0.3811,2.09,455,5.6,0.372,10,22750,2677.5,8.5,3209
C5838,4,3,2,2,5,293,5740,1931,1.3685,2.97,1079,5.32,0.5588,11,84162,5740.0,14.66,1411
C5542,1,3,1,5,5,216,4930,723,0.2746,6.82,271,18.19,0.3748,26,12195,4831.4,2.52,2632
C1776,3,1,1,4,3,39,5900,208,0.0213,28.37,195,30.26,0.9375,25,36855,5900.0,6.25,9765
C1535,1,1,1,1,2,292,6590,627,0.119,10.51,550,11.98,0.8772,11,45650,6392.3,7.14,5268
C2675,4,1,2,5,2,238,4210,867,0.16,4.86,589,7.15,0.6794,25,48298,4167.9,11.59,5418
C1678,5,3,2,5,2,255,4950,693,0.0853,7.14,202,24.5,0.2915,25,39188,4702.5,8.33,8124
C5887,4,4,3,3,3,222,2050,1904,1.3668,1.08,869,2.36,0.4564,9,155551,2111.5,73.67,1393
C9352,5,3,1,4,2,53,8680,1288,0.4411,6.74,978,8.88,0.7593,27,63570,8680.0,7.32,2919
C2828,5,1,3,5,5,120,3310,860,0.1555,3.85,151,21.92,0.1756,29,26123,3210.7,8.14,5530
C6119,5,4,3,4,3,258,3200,499,0.0766,6.41,175,18.29,0.3507,21,16450,3264.0,5.04,6514
C7917,5,1,3,2,1,326,8270,1722,0.6766,4.8,734,11.27,0.4262,18,101292,8435.4,12.01,2545
C1977,2,2,2,4,4,44,2290,635,0.0923,3.61,398,5.75,0.6268,24,65670,2290.0,28.68,6879
C5105,1,2,1,4,3,148,2360,1084,0.1645,2.18,74,31.89,0.0683,29,8732,2478.0,3.52,6589
C2033,3,1,3,5,3,324,7290,1432,0.2646,5.09,1424,5.12,0.9944,30,271984,7435.8,36.58,5411
C2290,5,1,3,3,3,61,7220,1930,0.3256,3.74,1559,4.63,0.8078,10,308682,7292.2,42.33,5927
C2498,2,1,1,5,4,107,5350,906,0.2328,5.91,464,11.53,0.5121,7,66816,5082.5,13.15,3891
C3908,2,4,3,1,5,141,6120,1493,0.1671,4.1,1320,4.64,0.8841,7,201960,5875.2,34.38,8934
C1603,4,4,2,5,3,100,7240,416,0.1065,17.4,223,32.47,0.5361,8,41924,7095.2,5.91,3906
C5900,2,4,3,1,5,191,4510,1465,0.1502,3.08,479,9.42,0.327,22,49337,4600.2,10.72,9753
C5414,5,1,2,1,4,207,3820,791,0.2423,4.83,763,5.01,0.9646,27,61040,3705.4,16.47,3264
C5130,4,2,1,5,3,60,5040,1393,0.1598,3.62,1065,4.73,0.7645,20,184245,5191.2,35.49,8717
C6300,1,3,1,2,5,237,3140,1418,0.2906,2.21,407,7.71,0.287,16,18722,3045.8,6.15,4879
C1153,5,2,3,3,4,119,8520,1604,0.2056,5.31,1562,5.45,0.9738,8,306152,8775.6,34.89,7801
C7525,4,1,3,5,4,96,4470,175,0.0191,25.54,132,33.86,0.7543,16,9240,4470.0,2.07,9162
C4826,1,2,1,4,1,167,9800,1943,0.8006,5.04,1641,5.97,0.8446,23,206766,9506.0,21.75,2426
C4095,4,2,3,4,1,40,4970,1975,0.3107,2.52,1894,2.62,0.959,9,140156,4771.2,29.38,6356
C2277,1,3,3,2,1,259,7180,157,0.054,45.73,138,52.03,0.879,17,5106,6964.6,0.73,2907
C8323,3,3,2,2,2,130,5880,352,0.0384,16.7,167,35.21,0.4744,9,11690,5762.4,2.03,9166
C4161,5,1,3,4,2,171,6720,856,0.2289,7.85,541,12.42,0.632,15,17312,6451.2,2.68,3739
C3297,2,1,1,4,5,6,6770,1205,0.1246,5.62,869,7.79,0.7212,11,69520,6837.7,10.17,9670
C6444,5,4,2,1,5,176,8840,94,0.0306,94.04,19,465.26,0.2021,14,1938,8751.6,0.22,3071
C1165,1,1,1,1,2,218,9280,1573,0.1827,5.9,1310,7.08,0.8328,22,119210,9187.2,12.98,8609
C3167,1,2,3,2,2,328,9600,283,0.0357,33.92,98,97.96,0.3463,23,13328,9504.0,1.4,7927
C4053,3,4,1,2,2,86,9100,1739,0.7988,5.23,1662,5.48,0.9557,30,309132,8918.0,34.66,2177
C9760,3,4,2,2,4,40,2640,1670,0.2384,1.58,927,2.85,0.5551,15,95481,2692.8,35.46,7005
C2990,5,3,1,1,3,153,8580,1038,0.1289,8.27,721,11.9,0.6946,26,124733,8236.8,15.14,8052
C5489,1,4,3,4,2,62,5810,806,0.0845,7.21,310,18.74,0.3846,18,41540,5577.6,7.45,9538
C1479,3,2,3,3,4,145,3660,957,0.1274,3.82,900,4.07,0.9404,29,164700,3623.4,45.45,7511
C2411,1,1,1,1,1,128,4510,935,0.774,4.82,822,5.49,0.8791,14,163578,4329.6,37.78,1208
C4371,5,4,2,5,2,120,4040,1117,0.3712,3.62,100,40.4,0.0895,17,18600,4242.0,4.38,3009
C1053,3,1,1,3,1,189,7480,1565,0.1876,4.78,544,13.75,0.3476,28,107712,7180.8,15.0,8342
C1011,5,1,3,2,5,287,8680,1764,0.4456,4.92,1692,5.13,0.9592,29,309636,9027.2,34.3,3958
C9560,1,4,2,2,3,85,5170,1017,0.2706,5.08,379,13.64,0.3727,24,63293,5376.8,11.77,3758
C9523,3,3,1,5,1,309,4560,960,0.1255,4.75,299,15.25,0.3115,30,56212,4651.2,12.09,7649
C9548,4,2,2,4,1,119,2610,1288,0.1648,2.03,699,3.73,0.5427,17,85977,2688.3,31.98,7815
C5510,2,1,1,3,1,208,8040,1126,0.1206,7.14,715,11.24,0.635,26,89375,8120.4,11.01,9336
C7701,5,4,3,4,1,84,6930,1558,0.5356,4.45,1000,6.93,0.6418,12,76000,6930.0,10.97,2908
C9916,4,4,1,2,2,97,9050,987,0.3324,9.17,484,18.7,0.4904,21,87120,8597.5,10.13,2969
C9888,5,4,3,5,5,13,4130,881,0.119,4.69,184,22.45,0.2089,9,23920,4130.0,5.79,7403
C8101,5,4,1,3,5,115,7400,1363,0.1394,5.43,598,12.37,0.4387,27,85514,7548.0,11.33,9777
C3516,2,3,2,3,1,7,6840,133,0.0422,51.43,131,52.21,0.985,25,11135,6566.4,1.7,3151
C9308,5,3,2,4,1,134,6740,279,0.0382,24.16,99,68.08,0.3548,20,6039,6672.6,0.91,7303
C9429,3,2,3,3,4,21,9200,1243,0.6081,7.4,318,28.93,0.2558,24,20352,9292.0,2.19,2044
C8305,1,1,3,1,4,57,9260,937,0.1577,9.88,795,11.65,0.8485,19,154230,8797.0,17.53,5941
C6143,5,2,2,4,1,277,9790,1283,0.1432,7.63,418,23.42,0.3258,25,40964,9985.8,4.1,8959
C9836,5,1,2,5,4,222,2600,388,0.0987,6.7,241,10.79,0.6211,23,44585,2496.0,17.86,3931
C9708,1,4,2,4,5,305,5170,320,0.0926,16.16,126,41.03,0.3937,24,14616,5118.3,2.86,3455
C2511,5,3,3,5,5,210,3220,1094,0.2907,2.94,979,3.29,0.8949,10,169367,3252.2,52.08,3763
C4061,1,2,3,5,1,119,7010,1452,0.1724,4.83,723,9.7,0.4979,22,26028,6939.9,3.75,8422
C6408,5,1,1,4,1,132,7300,1818,0.8527,4.02,1243,5.87,0.6837,21,78309,7227.0,10.84,2132
C5459,1,3,2,1,2,120,3590,1427,0.2272,2.52,1411,2.54,0.9888,13,64906,3446.4,18.83,6280
C8044,3,4,3,1,5,186,5110,1635,0.372,3.13,804,6.36,0.4917,28,107736,4905.6,21.96,4395
C5147,1,1,3,3,1,44,4200,1189,0.2353,3.53,127,33.07,0.1068,30,5588,4032.0,1.39,5053
C1785,2,4,2,3,1,206,8300,1193,0.8166,6.96,429,19.35,0.3596,30,50622,7885.0,6.42,1460
C4676,1,1,1,4,5,100,5860,1395,0.1688,4.2,310,18.9,0.2222,30,31930,5684.2,5.62,8264
C8990,3,3,2,1,1,193,5530,1658,0.3106,3.34,435,12.71,0.2624,15,27405,5253.5,5.22,5338
C5792,4,1,3,1,3,244,6550,1154,0.1215,5.68,710,9.23,0.6153,9,29110,6288.0,4.63,9497
C4699,1,3,3,4,4,37,5150,1065,0.2451,4.84,216,23.84,0.2028,25,35640,4944.0,7.21,4345
C3176,3,3,3,4,4,107,9790,813,0.3331,12.04,131,74.73,0.1611,13,7074,9887.9,0.72,2440
C3273,1,4,1,3,2,89,5240,1542,0.2594,3.4,639,8.2,0.4144,29,109269,5187.6,21.06,5944
C9673,3,3,1,1,4,128,9140,279,0.1269,32.76,157,58.22,0.5627,19,10205,9048.6,1.13,2198
C4126,2,1,2,5,2,226,2770,1909,0.7918,1.45,1311,2.11,0.6867,26,98325,2880.8,34.13,2410
C4213,3,2,2,4,3,144,2860,877,0.1099,3.26,672,4.26,0.7662,10,98784,2717.0,36.36,7979
C9401,3,3,1,3,5,139,8400,119,0.0207,70.59,115,73.04,0.9664,10,12650,8148.0,1.55,5748
C3703,5,1,2,4,1,192,2860,1737,0.178,1.65,145,19.72,0.0835,18,9280,2802.8,3.31,9758
C4846,1,1,3,3,4,16,2360,1668,0.6622,1.41,509,4.64,0.3052,25,42756,2360.0,18.12,2518
C8078,5,3,3,1,5,40,2790,1243,0.1268,2.24,403,6.92,0.3242,14,26195,2706.3,9.68,9802
C5390,4,4,3,5,3,239,5930,551,0.1005,10.76,247,24.01,0.4483,11,25441,6226.5,4.09,5482
C9376,5,3,2,1,1,179,7070,427,0.0757,16.56,60,117.83,0.1405,19,10200,7423.5,1.37,5640
C4004,3,2,2,5,3,173,3350,463,0.1223,7.24,50,67.0,0.108,7,3500,3350.0,1.04,3785
C5589,1,3,3,1,4,241,2410,1890,0.2376,1.28,1089,2.21,0.5762,24,130680,2482.3,52.64,7954
C2306,3,3,2,4,1,313,6060,1411,0.1749,4.29,119,50.92,0.0843,18,3927,5878.2,0.67,8067
C5677,4,3,2,1,1,9,2900,1284,0.3179,2.26,971,2.99,0.7562,11,118462,2929.0,40.44,4039
C7450,3,2,1,4,1,307,6360,1273,0.1978,5.0,126,50.48,0.099,29,13356,6296.4,2.12,6435
C5033,3,4,1,1,1,141,3780,1493,0.3136,2.53,1475,2.56,0.9879,13,205025,3855.6,53.18,4760
C8674,2,4,1,4,1,331,2880,1476,0.1791,1.95,288,10.0,0.1951,7,23328,2995.2,7.79,8241
C6099,2,3,3,1,4,241,9530,132,0.0393,72.2,13,733.08,0.0985,13,1768,9148.8,0.19,3358
C7138,1,2,1,5,1,31,3220,1024,0.2461,3.14,145,22.21,0.1416,7,13485,3155.6,4.27,4160
C4844,4,4,1,5,2,310,7660,325,0.0762,23.57,295,25.97,0.9077,14,45430,8043.0,5.65,4265
C5515,2,1,3,4,2,24,7990,1982,0.2559,4.03,1315,6.08,0.6635,30,222235,7910.1,28.1,7745
C1746,2,4,2,4,3,112,2830,836,0.2042,3.39,355,7.97,0.4246,16,65675,2914.9,22.53,4094
C9933,4,2,3,1,5,87,7120,1159,1.0975,6.14,980,7.27,0.8456,8,193060,6906.4,27.95,1056
C8825,4,3,2,4,2,5,2700,1680,0.2335,1.61,1138,2.37,0.6774,28,171838,2565.0,66.99,7194
C7975,2,1,3,5,5,131,6610,213,0.0293,31.03,101,65.45,0.4742,16,19392,6345.6,3.06,7269
C7607,2,1,3,3,4,196,2610,1508,0.4763,1.73,131,19.92,0.0869,13,14541,2557.8,5.68,3166
C9454,2,1,2,1,4,242,8740,1817,0.3532,4.81,1346,6.49,0.7408,14,254394,8740.0,29.11,5144
C8148,3,3,1,4,1,283,7380,168,0.0446,43.93,17,434.12,0.1012,27,646,7675.2,0.08,3766
C7717,2,4,2,4,1,156,2480,959,0.1162,2.59,849,2.92,0.8853,18,26319,2504.8,10.51,8253
C9867,3,1,3,4,2,95,6110,1689,0.3424,3.62,622,9.82,0.3683,9,72774,6048.9,12.03,4932
C3387,3,1,3,2,5,180,6750,1677,0.5581,4.03,1015,6.65,0.6052,12,156310,6547.5,23.87,3004
C1341,1,1,1,1,3,65,4630,859,0.2088,5.39,735,6.3,0.8556,29,127890,4630.0,27.62,4113
C2816,1,2,2,1,2,172,8390,1448,0.79,5.79,1432,5.86,0.989,27,173272,8306.1,20.86,1832
C5907,1,4,1,1,3,329,8030,352,0.0495,22.81,288,27.88,0.8182,14,22752,7869.4,2.89,7111
C5355,3,3,2,5,2,280,5490,1765,0.4453,3.11,666,8.24,0.3773,15,22644,5764.5,3.93,3963
C5938,4,3,2,3,5,279,4630,1667,1.5252,2.78,1446,3.2,0.8674,9,160506,4537.4,35.37,1092
C3935,3,3,2,1,4,144,5000,321,0.1499,15.58,307,16.29,0.9564,21,20876,4850.0,4.3,2141
C7449,2,1,3,2,4,144,2160,1164,0.4856,1.86,862,2.51,0.7405,21,124990,2203.2,56.73,2397
C3181,1,3,2,5,5,156,8370,732,0.2679,11.43,594,14.09,0.8115,24,48114,8370.0,5.75,2732
C4782,3,4,2,2,2,324,6260,1573,0.1804,3.98,487,12.85,0.3096,13,19967,6510.4,3.07,8719
C5794,1,2,3,3,1,100,9240,877,0.0914,10.54,472,19.58,0.5382,17,82128,8962.8,9.16,9595
C7681,1,4,3,5,2,272,8840,299,0.1449,29.57,226,39.12,0.7559,20,28476,8840.0,3.22,2063
C3996,3,1,2,1,5,308,5140,1134,0.1614,4.53,687,7.48,0.6058,16,33663,5037.2,6.68,7026
C1555,3,1,3,4,5,223,9360,838,0.0879,11.17,832,11.25,0.9928,30,154752,9172.8,16.87,9533
C2434,4,4,3,3,1,323,8140,1491,0.3777,5.46,1279,6.36,0.8578,24,203361,8384.2,24.26,3947
C8502,1,2,3,3,2,327,8310,842,0.0996,9.87,484,17.17,0.5748,25,82280,8725.5,9.43,8453
C3055,2,1,3,5,2,222,2350,1387,0.1809,1.69,734,3.2,0.5292,15,104228,2420.5,43.06,7667
C6872,2,4,3,2,3,291,5230,897,0.1636,5.83,335,15.61,0.3735,20,64990,5073.1,12.81,5482
C7596,3,1,2,3,1,146,2190,254,0.0572,8.62,239,9.16,0.9409,8,7170,2102.4,3.41,4440
C2221,4,4,3,4,1,221,7460,645,0.1664,11.57,95,78.53,0.1473,11,18335,7683.8,2.39,3876
C9288,1,2,1,4,2,224,8800,1692,1.5424,5.2,1462,6.02,0.8641,30,119884,8360.0,14.34,1096
C9249,4,4,3,4,3,17,6740,595,0.3504,11.33,567,11.89,0.9529,8,36288,6874.8,5.28,1698
C4482,5,2,2,1,4,289,9110,1100,0.6691,8.28,661,13.78,0.6009,11,104438,9565.5,10.92,1643
C5313,5,4,3,1,3,227,6190,1673,1.5405,3.7,1321,4.69,0.7896,26,81902,6313.8,12.97,1086
C5399,3,3,2,1,5,155,6550,1382,0.6476,4.74,407,16.09,0.2945,14,71632,6222.5,11.51,2134
C5557,2,4,3,2,1,136,6620,962,0.4779,6.88,917,7.22,0.9532,15,53186,6951.0,7.65,2012
C6874,4,4,2,3,5,241,5890,484,0.0534,12.17,237,24.85,0.4897,17,22041,5831.1,3.78,9063
C5999,2,1,3,4,4,12,2540,1598,0.6389,1.59,854,2.97,0.5344,24,157136,2514.6,62.49,2501
C3701,5,3,3,2,3,114,7380,1697,0.2188,4.35,518,14.25,0.3052,26,76664,7011.0,10.93,7755
C1508,1,3,3,3,2,282,7610,526,0.2136,14.47,137,55.55,0.2605,27,20413,7686.1,2.66,2462
C2576,4,4,1,4,4,136,9130,1718,0.9172,5.31,1390,6.57,0.8091,19,247420,9312.6,26.57,1873
C6242,4,4,3,5,3,140,2400,1318,0.4925,1.82,286,8.39,0.217,23,33462,2280.0,14.68,2676
C2157,4,1,1,2,5,267,9510,622,0.5743,15.29,277,34.33,0.4453,15,21606,9224.7,2.34,1083
C1002,1,1,1,1,2,129,9950,1806,0.1819,5.51,1612,6.17,0.8926,25,320788,10348.0,31.0,9928
C9559,3,3,2,4,5,278,4960,1351,0.1527,3.67,141,35.18,0.1044,23,6627,4960.0,1.34,8847
C8244,3,3,2,2,1,315,3790,929,0.1444,4.08,93,40.75,0.1001,15,9486,3827.9,2.48,6433
C2340,4,3,2,1,3,235,3400,1173,0.1277,2.9,1018,3.34,0.8679,7,123178,3434.0,35.87,9185
C7255,3,3,1,5,3,217,3650,1187,0.1673,3.07,130,28.08,0.1095,7,5200,3540.5,1.47,7095
C8218,4,1,3,5,1,30,5940,107,0.0664,55.51,43,138.14,0.4019,7,7697,5643.0,1.36,1611
C7331,2,4,1,5,2,217,4040,846,0.0902,4.78,522,7.74,0.617,24,41238,4201.6,9.81,9379
C6586,1,1,1,2,2,8,4400,1049,0.1456,4.19,16,275.0,0.0153,20,2464,4356.0,0.57,7204
C1413,2,4,2,2,1,322,2390,296,0.0321,8.07,204,11.72,0.6892,27,38760,2366.1,16.38,9221
C6528,3,1,2,1,3,126,5760,1469,0.2613,3.92,917,6.28,0.6242,17,78862,5702.4,13.83,5621
C8829,5,2,3,4,2,174,9030,1696,0.1886,5.32,1246,7.25,0.7347,30,179424,8668.8,20.7,8992
C2805,1,2,2,3,1,314,9230,1553,0.4145,5.94,916,10.08,0.5898,8,62288,9414.6,6.62,3746
C8023,5,2,1,4,5,118,6640,1433,0.2151,4.63,108,61.48,0.0754,14,19116,6440.8,2.97,6662
C1542,4,3,3,1,3,249,4210,1427,0.688,2.95,277,15.2,0.1941,28,12742,4167.9,3.06,2074
C5660,5,2,3,2,5,259,9690,1389,0.2441,6.98,1191,8.14,0.8575,10,202470,9980.7,20.29,5690
C7614,1,3,2,3,5,158,9800,698,0.2913,14.04,502,19.52,0.7192,18,33132,9604.0,3.45,2396
C2469,3,2,3,3,5,210,9350,687,0.2915,13.61,192,48.7,0.2795,27,27264,9069.5,3.01,2356
